iterate,x,y,value,best
1,51.34298523979794,37.07061716480146,-1.779455345773429,-1.779455345773429
2,59.79995724958452,-42.0210640724905,-2.2048707796289237,-1.779455345773429
3,30.600576069325854,-7.511670439936054,-0.8615518421106383,-0.8615518421106383
4,-56.408982211240456,-18.108046323490036,-0.9151115622325731,-0.8615518421106383
5,44.812564590655754,-31.759310074680343,-2.356921455916586,-0.8615518421106383
6,52.59386998616061,20.385600876094088,-1.6070836236820825,-0.8615518421106383
7,8.50979841960698,-34.943600321971644,-1.879205709336594,-0.8615518421106383
8,-2.0816494416879934,34.65102588054266,-1.6960981169205904,-0.8615518421106383
9,33.077537845835366,-5.040965378636287,-1.19718338128077,-0.8615518421106383
10,-16.813292707526706,-43.34799697497051,-1.8644479314810058,-0.8615518421106383
11,59.10603094471465,47.992538903979536,-1.7711253574328438,-0.8615518421106383
12,-41.92001888197892,-24.879214141828562,-1.739605828939501,-0.8615518421106383
13,42.82322614688347,-1.461644379766085,-1.2541807145176933,-0.8615518421106383
14,-44.07417450715832,59.55177830113992,-2.668445440089573,-0.8615518421106383
15,1.941681840935118,27.624224438109337,-1.4726912633581266,-0.8615518421106383
16,-42.360635725646006,55.02531784878978,-2.2235168943294075,-0.8615518421106383
17,13.671992091150202,43.630228175151586,-1.1436923505986671,-0.8615518421106383
18,-29.603208029529945,-23.09585949430683,-1.1579188957938247,-0.8615518421106383
19,-0.21021276934801136,-9.447292132679323,-0.12042246449794614,-0.12042246449794614
20,-29.617794752782647,-1.939559022992782,-1.2648704757806581,-0.12042246449794614
21,54.46392916366122,-37.36020227532003,-2.2291645835952774,-0.12042246449794614
22,8.126615801636973,-41.66255196209529,-1.3492618239905663,-0.12042246449794614
23,58.585172910166065,-1.2558237321094339,-2.141788114078663,-0.12042246449794614
24,21.51398965720081,10.748154529248069,-1.3677086675196823,-0.12042246449794614
25,8.774272344654122,23.61615099637349,-0.7228259669637939,-0.12042246449794614
26,7.851624825950623,-30.591251332896874,-1.2515740048747528,-0.12042246449794614
27,0.23274966224074944,49.930618699664635,-2.336061689075203,-0.12042246449794614
28,48.94392035767183,35.443952392243034,-1.6668888483560038,-0.12042246449794614
29,-15.65533345532738,58.055796610859645,-0.9274112759112825,-0.12042246449794614
30,-3.0832342503406025,43.48581299933552,-2.2595894430410874,-0.12042246449794614
31,57.25544975561968,37.24860772682635,-1.8951132788181273,-0.12042246449794614
32,-25.269537521225978,-45.61131292077175,-1.0156670085978536,-0.12042246449794614
33,-28.312309845933697,-26.35455482917684,-2.3505068884809655,-0.12042246449794614
34,37.121950498244246,36.14831911819333,-0.9087541789351312,-0.12042246449794614
35,50.551425572257415,11.536825615399337,-1.9591251615875527,-0.12042246449794614
36,-22.44815008551742,-19.88577502815528,-1.2927976401437338,-0.12042246449794614
37,6.686378492065586,-31.41453169674793,-2.1550781347071775,-0.12042246449794614
38,52.22228796625109,31.99926080075889,-1.634841772159405,-0.12042246449794614
39,28.32834038823451,36.26773187071542,-2.399751663332446,-0.12042246449794614
40,22.845169753918455,-31.097246302672744,-0.7152797559778286,-0.12042246449794614
41,-44.27391878306822,-50.743175204761286,-2.368374187217113,-0.12042246449794614
42,19.264070171237563,-5.9953105753396585,-1.5187929618384364,-0.12042246449794614
43,46.30103316006837,7.421548875738296,-1.8967309143350148,-0.12042246449794614
44,-23.652671510074455,-10.126945374172294,-1.1076094916691623,-0.12042246449794614
45,-14.541083651405195,51.43838109243167,-1.8093293217003965,-0.12042246449794614
46,-3.1149905984007376,18.917511113595296,-1.7809095207908423,-0.12042246449794614
47,56.616309163713225,5.465401793045942,-2.5569089467876442,-0.12042246449794614
48,23.187727918728996,32.589041621825515,-1.2189284492400325,-0.12042246449794614
49,-44.17485307592213,12.171614803404424,-2.1958329887647206,-0.12042246449794614
50,17.103956503296004,10.232176126464836,-1.2001826185969455,-0.12042246449794614
51,23.26120208487255,10.071631443768581,-1.3586759341055574,-0.12042246449794614
52,-50.215264237719936,-1.813202290683627,-1.3468977452648874,-0.12042246449794614
53,14.169681573309248,-16.977433548202647,-1.1497704709649672,-0.12042246449794614
54,8.926805073322527,9.398054313686544,-1.8635412721232385,-0.12042246449794614
55,35.912103640210745,27.79506700082885,-1.6643287753697746,-0.12042246449794614
56,58.236221774306784,10.969673315343186,-1.889259014042285,-0.12042246449794614
57,-21.046271787814987,-3.0657480746686545,-0.7837392044040596,-0.12042246449794614
58,-27.585945963804058,-19.47607841581042,-1.561097693651319,-0.12042246449794614
59,-26.76945815928174,55.39800401074665,-1.9528049282216204,-0.12042246449794614
60,-37.43926881825811,9.523189755086946,-0.5031838436159093,-0.12042246449794614
61,-43.61600078907869,-24.010755547796563,-1.896161012711855,-0.12042246449794614
62,24.513630874646168,51.66536040277515,-1.4969610260952106,-0.12042246449794614
63,-22.631912542428296,-42.0216073557344,-1.4644986645063656,-0.12042246449794614
64,-53.86912554266283,-3.786577156782073,-0.9285898384456486,-0.12042246449794614
65,41.6443848873314,-6.567482704163147,-1.3968562227898136,-0.12042246449794614
66,-11.473262901768948,-50.72248435604103,-1.7952226036128143,-0.12042246449794614
67,41.640266805246156,10.175312486215645,-1.886138427772669,-0.12042246449794614
68,35.86673836813834,31.986820197143885,-1.3679715717517222,-0.12042246449794614
69,-7.740035838176375,12.198545788701736,-1.1314663804062142,-0.12042246449794614
70,33.534203328696535,-14.158933737282496,-0.8978806649356865,-0.12042246449794614
